xpoints,ypoints,xaep1,xaep100,yaep1,yaep100
-1789.8,-1789.8,467.47767278182414,459.75090871044614,466.31079773170677,458.5969803674733
-1788.8,-1788.8,467.5032815853408,459.76178041380456,466.3373017936541,458.6114642616405
-1787.8,-1787.8,467.5290798740413,459.7730643418202,466.36348354329266,458.62597535058916
-1786.8,-1786.8,467.5550373359286,459.7846071794061,466.3892955603222,458.64056571466807
-1785.8,-1785.8,467.58085165048965,459.7963328395155,466.41459573681186,458.65522239934694
-1784.8,-1784.8,467.60630233096475,459.80813889032606,466.3348357506596,458.66990538856265
-1783.8,-1783.8,467.6315150614022,459.820096783141,466.3595702295247,458.6845132020991
-1782.8,-1782.8,467.6564533931389,459.8321619580183,466.3836113548787,458.6991014480101
-1781.8,-1781.8,467.6811029337273,459.8443052185626,466.4068607024078,458.71400397842007
-1780.8,-1780.8,467.7053934334593,459.8563693719826,466.42925208309833,458.73128176539035
-1779.8,-1779.8,467.7292755176565,459.86854008073163,466.4509131325757,458.74832158252053
-1778.8,-1778.8,467.7526849975595,459.8807676772535,466.4718623106318,458.76515207284797
-1777.8,-1777.8,467.74664963689696,459.8930492299081,466.4920700071068,458.7817615283713
-1776.8,-1776.8,468.0989165498149,459.90534932706004,466.51143867142355,458.7981167507587
-1775.8,-1775.8,468.1170435590849,459.91765952158886,466.53004327439066,458.8141407974404
-1774.8,-1774.8,468.1346360792367,459.92989930139123,466.5479108687728,458.829878561142
-1773.8,-1773.8,468.1515645783801,459.94188799201777,466.5650360578833,458.84531733863
-1772.8,-1772.8,468.16772688966586,459.9534950216419,466.58136489263836,458.86041595711
-1771.8,-1771.8,468.1829992749789,459.9652380745458,466.59671965989423,458.87502716756956
-1770.8,-1770.8,468.1981122772598,459.9771180825794,466.6112687624929,458.8890577434416
-1769.8,-1769.8,468.2126973314064,459.9890117381338,466.62532046728376,458.9027495149517
-1768.8,-1768.8,468.2271324864449,460.0009926794648,466.6388582541646,458.91608833741174
-1767.8,-1767.8,468.2408512666338,460.0128347601451,466.6518849323427,458.92888282449906
-1766.8,-1766.8,468.2541811258728,460.0245863354982,466.66446182080665,458.9414347766202
-1765.8,-1765.8,468.0139912376392,460.036292994893,466.6766224535856,458.95384439614116
-1764.8,-1764.8,468.03406911424094,460.0479894194341,466.68835267928773,458.96593766486393
